VEHICLE_ID;CARGO_MANIFEST_ID;POSX;POSY;POSZ;POWER GENERATOR;NUMBER OF GENERATORS;CONTAINER_ID;TEMPERATURE
1;1;0;0;0;3293;10;5931400;2
1;1;0;0;1;3293;10;8365855;5
1;1;0;0;2;3293;10;5312731;-4
1;1;0;0;3;3293;10;8368200;-3
1;1;0;0;4;3293;10;6758052;6
1;1;0;1;0;3293;10;2575793;3
1;1;0;1;1;3293;10;6516205;-1
1;1;0;1;2;3293;10;3941081;6
1;1;0;1;3;3293;10;2595616;-1
1;1;0;1;4;3293;10;4959873;-5
1;1;0;2;0;3293;10;6421164;-2
1;1;0;2;1;3293;10;4136661;2
1;1;0;2;2;3293;10;1738037;-3
1;1;0;2;3;3293;10;5301152;4
1;1;0;2;4;3293;10;6564263;2
1;1;0;3;0;3293;10;1505098;-1
1;1;0;3;1;3293;10;9057098;3
1;1;0;3;2;3293;10;9327619;4
1;1;0;3;3;3293;10;5869518;-4
1;1;0;3;4;3293;10;4064570;2
1;1;0;4;0;3293;10;8583053;-1
1;1;0;4;1;3293;10;1057005;1
1;1;0;4;2;3293;10;3377231;3
1;1;0;4;3;3293;10;7344012;2
1;1;0;4;4;3293;10;2087825;3
1;1;1;0;0;3293;10;8174483;-2
1;1;1;0;1;3293;10;7265523;1
1;1;1;0;2;3293;10;2072673;-3
1;1;1;0;3;3293;10;3617257;-5
1;1;1;0;4;3293;10;4875350;-4
1;1;1;1;0;3293;10;6660392;-4
1;1;1;1;1;3293;10;6684372;0
1;1;1;1;2;3293;10;7966688;0
1;1;1;1;3;3293;10;6399218;5
1;1;1;1;4;3293;10;2172989;-4
1;1;1;2;0;3293;10;9215021;2
1;1;1;2;1;3293;10;4645617;1
1;1;1;2;2;3293;10;5965610;-5
1;1;1;2;3;3293;10;4719643;2
1;1;1;2;4;3293;10;7989692;0
1;1;1;3;0;3293;10;3306424;3
1;1;1;3;1;3293;10;9875616;7
1;1;1;3;2;3293;10;7067877;-2
1;1;1;3;3;3293;10;4696722;-3
1;1;1;3;4;3293;10;3782935;-1
1;1;1;4;0;3293;10;4370016;-5
1;1;1;4;1;3293;10;5885312;4
1;1;1;4;2;3293;10;4735611;5
1;1;1;4;3;3293;10;7584832;3
1;1;1;4;4;3293;10;6556608;2
1;1;2;0;0;3293;10;4354102;0
1;1;2;0;1;3293;10;3671208;5
1;1;2;0;2;3293;10;7716666;-2
1;1;2;0;3;3293;10;3551525;5
1;1;2;0;4;3293;10;7457375;-2
1;1;2;1;0;3293;10;6806057;-3
1;1;2;1;1;3293;10;9473921;5
1;1;2;1;2;3293;10;2635737;3
1;1;2;1;3;3293;10;2010999;4
1;1;2;1;4;3293;10;9954699;4
1;1;2;2;0;3293;10;7070030;3
1;1;2;2;1;3293;10;5078500;-1
1;1;2;2;2;3293;10;5364607;6
1;1;2;2;3;3293;10;3941633;6
1;1;2;2;4;3293;10;9942573;4
1;1;2;3;0;3293;10;8168434;0
1;1;2;3;1;3293;10;8337725;1
1;1;2;3;2;3293;10;7274134;0
1;1;2;3;3;3293;10;7959038;-2
1;1;2;3;4;3293;10;3363269;-5
1;1;2;4;0;3293;10;3277095;3
1;1;2;4;1;3293;10;8788403;-5
1;1;2;4;2;3293;10;5268834;-2
1;1;2;4;3;3293;10;7210189;6
1;1;2;4;4;3293;10;5781050;6
1;1;3;0;0;3293;10;1310864;6
1;1;3;0;1;3293;10;3276843;-1
1;1;3;0;2;3293;10;6735984;2
1;1;3;0;3;3293;10;4109024;1
1;1;3;0;4;3293;10;2107380;-2
1;1;3;1;0;3293;10;4556239;-2
1;1;3;1;1;3293;10;5559313;-4
1;1;3;1;2;3293;10;5654245;4
1;1;3;1;3;3293;10;9073879;5
1;1;3;1;4;3293;10;8650220;-1
1;1;3;2;0;3293;10;4528640;0
1;1;3;2;1;3293;10;6957603;0
1;1;3;2;2;3293;10;4882649;-5
1;1;3;2;3;3293;10;7022761;-4
1;1;3;2;4;3293;10;8003698;-4
1;1;3;3;0;3293;10;4054890;1
1;1;3;3;1;3293;10;3447058;-4
1;1;3;3;2;3293;10;7123918;3
1;1;3;3;3;3293;10;4878722;0
1;1;3;3;4;3293;10;7730812;3
1;1;3;4;0;3293;10;1488824;-4
1;1;3;4;1;3293;10;8289501;-3
1;1;3;4;2;3293;10;7928759;-4
1;1;3;4;3;3293;10;9795644;-1
1;1;1;2;3;3293;10;5931400;2
1;2;0;0;0;3293;10;6421164;-2
1;2;0;0;1;3293;10;3377231;3
1;2;0;0;2;3293;10;4882649;-5
1;2;0;0;3;3293;10;4959873;-5
1;2;0;0;4;3293;10;3782935;-1
1;2;0;1;0;3293;10;3551525;5
1;2;0;1;1;3293;10;7123918;3
1;2;0;1;2;3293;10;7989692;0
1;2;0;1;3;3293;10;7928759;-4
1;2;0;1;4;3293;10;5559313;-4
1;2;0;2;0;3293;10;4875350;-4
1;2;0;2;1;3293;10;7210189;6
1;2;0;2;2;3293;10;3941633;6
1;2;0;2;3;3293;10;3617257;-5
1;2;0;2;4;3293;10;5654245;4
1;2;0;3;0;3293;10;7730812;3
1;2;0;3;1;3293;10;8337725;1
1;2;0;3;2;3293;10;8174483;-2
1;2;0;3;3;3293;10;2107380;-2
1;2;0;3;4;3293;10;2087825;3
1;2;0;4;0;3293;10;8650220;-1
1;2;0;4;1;3293;10;4719643;2
1;2;0;4;2;3293;10;9057098;3
1;2;0;4;3;3293;10;1738037;-3
1;2;0;4;4;3293;10;3363269;-5
1;2;1;0;0;3293;10;9795644;-1
1;2;1;0;1;3293;10;6660392;-4
1;2;1;0;2;3293;10;8368200;-3
1;2;1;0;3;3293;10;4528640;0
1;123;0;0;0;3293;10;2817190;-4
1;123;0;0;1;3293;10;5333071;7
1;123;0;0;2;3293;10;2415459;1
1;123;0;0;3;3293;10;8805921;1
1;123;0;0;4;3293;10;9034337;-3
1;123;0;1;0;3293;10;1169018;4
1;123;0;1;1;3293;10;4812326;4
1;123;0;1;2;3293;10;2233176;4
1;123;0;1;3;3293;10;1082433;0
1;124;0;0;0;3293;10;9073879;5
1;124;0;0;1;3293;10;9875616;7
1;124;0;0;2;3293;10;2010999;4
1;124;0;0;3;3293;10;6735984;2
1;124;0;0;4;3293;10;2072673;-3
1;124;0;1;0;3293;10;3941081;6
1;124;0;1;1;3293;10;5885312;4
1;124;0;1;2;3293;10;4878722;0
1;124;0;1;3;3293;10;4735611;5
1;124;0;1;4;3293;10;8168434;0
1;124;0;2;0;3293;10;5268834;-2
1;124;0;2;1;3293;10;1488824;-4
1;124;0;2;2;3293;10;5781050;6
1;124;0;2;3;3293;10;4812326;4
1;124;0;2;4;3293;10;8003698;-4
1;124;0;3;0;3293;10;1169018;4
1;124;0;3;1;3293;10;4054890;1
1;124;0;3;2;3293;10;5965610;-5
1;124;0;3;3;3293;10;2595616;-1
1;124;0;3;4;3293;10;9780963;6
1;124;0;4;0;3293;10;7265523;1
1;124;0;4;1;3293;10;9473921;5
1;124;0;4;2;3293;10;8365855;5
1;124;0;4;3;3293;10;3671208;5
1;124;0;4;4;3293;10;7716666;-2
1;124;1;0;0;3293;10;3447058;-4
1;124;1;0;1;3293;10;7067877;-2
1;124;1;0;2;3293;10;4354102;0
1;124;1;0;3;3293;10;9034337;-3
1;245;0;0;0;3293;10;4120605;0
1;245;0;0;1;3293;10;1338785;5
1;245;0;0;2;3293;10;9784380;6
1;245;0;0;3;3293;10;8340928;0
1;245;0;0;4;3293;10;7810033;-3
1;245;0;1;0;3293;10;1050587;-3
1;245;0;1;1;3293;10;9663993;7
1;245;0;1;2;3293;10;9510507;-5
1;245;0;1;3;3293;10;1484694;1
1;246;0;0;0;3293;10;7344012;2
1;246;0;0;1;3293;10;9784380;6
1;246;0;0;2;3293;10;4645617;1
1;246;0;0;3;3293;10;9215021;2
1;246;0;0;4;3293;10;5078500;-1
1;246;0;1;0;3293;10;8805921;1
1;246;0;1;1;3293;10;7457375;-2
1;246;0;1;2;3293;10;5312731;-4
1;246;0;1;3;3293;10;2172989;-4
1;246;0;1;4;3293;10;9327619;4
1;246;0;2;0;3293;10;1050587;-3
1;246;0;2;1;3293;10;1310864;6
1;246;0;2;2;3293;10;4109024;1
1;246;0;2;3;3293;10;7022761;-4
1;246;0;2;4;3293;10;4120605;0
1;246;0;3;0;3293;10;7584832;3
1;246;0;3;1;3293;10;5364607;6
1;246;0;3;2;3293;10;2415459;1
1;246;0;3;3;3293;10;9954699;4
1;246;0;3;4;3293;10;5301152;4
1;246;0;4;0;3293;10;3276843;-1
1;246;0;4;1;3293;10;9942573;4
1;246;0;4;2;3293;10;6806057;-3
1;246;0;4;3;3293;10;2575793;3
1;246;0;4;4;3293;10;1057005;1
1;246;1;0;0;3293;10;4179496;3
1;246;1;0;1;3293;10;9510507;-5
1;246;1;0;2;3293;10;6684372;0
1;246;1;0;3;3293;10;8788403;-5
1;367;0;0;0;3293;10;3787700;-4
1;367;0;0;1;3293;10;1180274;2
1;367;0;0;2;3293;10;9561825;-4
1;367;0;0;3;3293;10;9802762;0
1;367;0;0;4;3293;10;9539307;4
1;367;0;1;0;3293;10;2311301;-1
1;367;0;1;1;3293;10;4016843;6
1;367;0;1;2;3293;10;9659351;-5
1;367;0;1;3;3293;10;2687784;-4
1;368;0;0;0;3293;10;6957603;0
1;368;0;0;1;3293;10;1338785;5
1;368;0;0;2;3293;10;9802762;0
1;368;0;0;3;3293;10;7070030;3
1;368;0;0;4;3293;10;4016843;6
1;368;0;1;0;3293;10;5333071;7
1;368;0;1;1;3293;10;7274134;0
1;368;0;1;2;3293;10;4370016;-5
1;368;0;1;3;3293;10;7959038;-2
1;368;0;1;4;3293;10;7810033;-3
1;368;0;2;0;3293;10;4136661;2
1;368;0;2;1;3293;10;1494646;0
1;368;0;2;2;3293;10;1484694;1
1;368;0;2;3;3293;10;1505098;-1
1;368;0;2;4;3293;10;8340928;0
1;368;0;3;0;3293;10;2311301;-1
1;368;0;3;1;3293;10;6516205;-1
1;368;0;3;2;3293;10;2233176;4
1;368;0;3;3;3293;10;1180274;2
1;368;0;3;4;3293;10;6758052;6
1;368;0;4;0;3293;10;5931400;2
1;368;0;4;1;3293;10;3277095;3
1;368;0;4;2;3293;10;6556608;2
1;368;0;4;3;3293;10;8583053;-1
1;368;0;4;4;3293;10;9539307;4
1;368;1;0;0;3293;10;8289501;-3
1;368;1;0;1;3293;10;3306424;3
1;368;1;0;2;3293;10;4696722;-3
1;368;1;0;3;3293;10;6399218;5
1;489;0;0;0;3293;10;2829643;-5
1;489;0;0;1;3293;10;5692979;5
1;489;0;0;2;3293;10;1106269;3
1;489;0;0;3;3293;10;5180951;-1
1;489;0;0;4;3293;10;7754440;3
1;489;0;1;0;3293;10;1122184;-4
1;489;0;1;1;3293;10;8501696;2
1;489;0;1;2;3293;10;8161358;-3
1;489;0;1;3;3293;10;8550811;1
1;490;0;0;0;3293;10;8161358;-3
1;490;0;0;1;3293;10;4556239;-2
1;490;0;0;2;3293;10;2817190;-4
1;490;0;0;3;3293;10;8501696;2
1;490;0;0;4;3293;10;3744585;3
1;490;0;1;0;3293;10;9659351;-5
1;490;0;1;1;3293;10;1106269;3
1;490;0;1;2;3293;10;7754440;3
1;490;0;1;3;3293;10;1122184;-4
1;490;0;1;4;3293;10;2687784;-4
1;490;0;2;0;3293;10;7966688;0
1;490;0;2;1;3293;10;2829643;-5
1;490;0;2;2;3293;10;8550811;1
1;490;0;2;3;3293;10;5692979;5
1;490;0;2;4;3293;10;8763321;5
1;490;0;3;0;3293;10;9561825;-4
1;490;0;3;1;3293;10;2635737;3
1;490;0;3;2;3293;10;5180951;-1
1;490;0;3;3;3293;10;3787700;-4
2;571;0;0;0;3794;6;3931653;-4
2;571;0;0;1;3794;6;7588946;4
2;571;0;0;2;3794;6;4072179;3
2;571;0;0;3;3794;6;7000929;-3
2;571;0;0;4;3794;6;9661970;4
2;571;0;1;0;3794;6;8744690;-1
2;571;0;1;1;3794;6;3091009;-3
2;571;0;1;2;3794;6;2433203;-4
2;571;0;1;3;3794;6;6315290;5
2;571;0;1;4;3794;6;2285902;1
2;571;0;2;0;3794;6;4484222;6
2;571;0;2;1;3794;6;3900669;-2
2;571;0;2;2;3794;6;8158854;4
2;571;0;2;3;3794;6;3242338;1
2;571;0;2;4;3794;6;5341961;5
2;571;0;3;0;3794;6;6179192;-4
2;571;0;3;1;3794;6;1585199;-3
2;571;0;3;2;3794;6;3323436;4
2;571;0;3;3;3794;6;9251827;5
2;571;0;3;4;3794;6;3866539;7
2;571;0;4;0;3794;6;5983063;0
2;571;0;4;1;3794;6;4909286;2
2;571;0;4;2;3794;6;4637172;3
2;571;0;4;3;3794;6;5176402;4
2;571;0;4;4;3794;6;1082433;0
2;571;1;0;0;3794;6;9740883;4
2;571;1;0;1;3794;6;6221085;7
2;571;1;0;2;3794;6;2356535;4
2;571;1;0;3;3794;6;8749113;-2
2;571;1;0;4;3794;6;7572695;6
2;571;1;1;0;3794;6;9661521;6
2;571;1;1;1;3794;6;7144174;0
2;571;1;1;2;3794;6;8821068;7
2;571;1;1;3;3794;6;7856843;5
2;571;1;1;4;3794;6;1016661;-5
2;571;1;2;0;3794;6;6721826;-2
2;571;1;2;1;3794;6;4964069;5
2;571;1;2;2;3794;6;3740190;6
2;571;1;2;3;3794;6;4437376;4
2;571;1;2;4;3794;6;3882356;6
2;571;1;3;0;3794;6;2645385;-2
2;571;1;3;1;3794;6;6230326;-2
2;571;1;3;2;3794;6;3054550;4
2;571;1;3;3;3794;6;1067076;-2
2;571;1;3;4;3794;6;4550651;4
2;571;1;4;0;3794;6;4699200;6
2;571;1;4;1;3794;6;5104552;4
2;571;1;4;2;3794;6;6430079;5
2;571;1;4;3;3794;6;7205496;1
2;571;1;4;4;3794;6;9464977;1
2;571;2;0;0;3794;6;6916620;-4
2;571;2;0;1;3794;6;3609345;-1
2;571;2;0;2;3794;6;2172516;-5
2;571;2;0;3;3794;6;1197346;5
2;571;2;0;4;3794;6;1894483;-3
2;571;2;1;0;3794;6;9461370;2
2;571;2;1;1;3794;6;8188527;4
2;571;2;1;2;3794;6;1164466;5
2;571;2;1;3;3794;6;9434197;2
2;571;2;1;4;3794;6;7358647;3
2;571;2;2;0;3794;6;8526206;0
2;571;2;2;1;3794;6;5415971;-2
2;571;2;2;2;3794;6;6056896;-2
2;571;2;2;3;3794;6;9639696;4
2;571;2;2;4;3794;6;5718691;1
2;571;2;3;0;3794;6;5775005;2
2;571;2;3;1;3794;6;1229680;-4
2;571;2;3;2;3794;6;3181214;0
2;571;2;3;3;3794;6;6791974;3
2;571;2;3;4;3794;6;2718832;-3
2;571;2;4;0;3794;6;1025804;-3
2;571;2;4;1;3794;6;9956635;5
2;571;2;4;2;3794;6;4020171;1
2;571;2;4;3;3794;6;6010314;-1
2;571;2;4;4;3794;6;2553010;-1
2;571;3;0;0;3794;6;9187881;-3
2;571;3;0;1;3794;6;1946349;-5
2;571;3;0;2;3794;6;1715831;-4
2;571;3;0;3;3794;6;3080076;3
2;571;3;0;4;3794;6;7907417;7
2;571;3;1;0;3794;6;7952773;4
2;571;3;1;1;3794;6;8550811;1
2;571;3;1;2;3794;6;4654193;3
2;571;3;1;3;3794;6;9580052;4
2;571;3;1;4;3794;6;7624250;-3
2;571;3;2;0;3794;6;3989665;0
2;571;3;2;1;3794;6;2702174;1
2;571;3;2;2;3794;6;5669734;2
2;571;3;2;3;3794;6;8788835;4
2;571;3;2;4;3794;6;8970351;5
2;571;3;3;0;3794;6;5712011;-3
2;571;3;3;1;3794;6;8056533;5
2;571;3;3;2;3794;6;2805031;4
2;571;3;3;3;3794;6;2528908;-3
2;571;3;3;4;3794;6;5797257;3
2;571;3;4;0;3794;6;5263611;-1
2;571;3;4;1;3794;6;5509077;0
2;571;3;4;2;3794;6;2383743;4
2;571;3;4;3;3794;6;3967791;-4
2;572;0;0;0;3794;6;8056533;5
2;572;0;0;1;3794;6;9661521;6
2;572;0;0;2;3794;6;5797257;3
2;572;0;0;3;3794;6;4699200;6
2;572;0;0;4;3794;6;5718691;1
2;572;0;1;0;3794;6;5415971;-2
2;572;0;1;1;3794;6;8158854;4
2;572;0;1;2;3794;6;8744690;-1
2;572;0;1;3;3794;6;8788835;4
2;572;0;1;4;3794;6;8526206;0
2;572;0;2;0;3794;6;5104552;4
2;572;0;2;1;3794;6;2553010;-1
2;572;0;2;2;3794;6;2528908;-3
2;572;0;2;3;3794;6;2356535;4
2;572;0;2;4;3794;6;8550811;1
2;572;0;3;0;3794;6;1894483;-3
2;572;0;3;1;3794;6;9661970;4
2;572;0;3;2;3794;6;9461370;2
2;572;0;3;3;3794;6;9740883;4
2;572;0;3;4;3794;6;5341961;5
2;572;0;4;0;3794;6;6230326;-2
2;572;0;4;1;3794;6;4637172;3
2;572;0;4;2;3794;6;2285902;1
2;572;0;4;3;3794;6;1229680;-4
2;572;0;4;4;3794;6;2383743;4
2;572;1;0;0;3794;6;7358647;3
2;572;1;0;1;3794;6;7572695;6
2;572;1;0;2;3794;6;7144174;0
2;572;1;0;3;3794;6;1715831;-4
2;693;0;0;0;3794;6;8589436;1
2;693;0;0;1;3794;6;2035345;1
2;693;0;0;2;3794;6;7814428;-2
2;693;0;0;3;3794;6;1221317;0
2;693;0;0;4;3794;6;4132506;-3
2;693;0;1;0;3794;6;1283506;-5
2;693;0;1;1;3794;6;9281899;6
2;693;0;1;2;3794;6;2060056;-5
2;693;0;1;3;3794;6;4770849;3
2;694;0;0;0;3794;6;2645385;-2
2;694;0;0;1;3794;6;3080076;3
2;694;0;0;2;3794;6;3242338;1
2;694;0;0;3;3794;6;3900669;-2
2;694;0;0;4;3794;6;3323436;4
2;694;0;1;0;3794;6;2433203;-4
2;694;0;1;1;3794;6;1197346;5
2;694;0;1;2;3794;6;4654193;3
2;694;0;1;3;3794;6;6791974;3
2;694;0;1;4;3794;6;3609345;-1
2;694;0;2;0;3794;6;8749113;-2
2;694;0;2;1;3794;6;5669734;2
2;694;0;2;2;3794;6;6179192;-4
2;694;0;2;3;3794;6;3989665;0
2;694;0;2;4;3794;6;5775005;2
2;694;0;3;0;3794;6;7205496;1
2;694;0;3;1;3794;6;3866539;7
2;694;0;3;2;3794;6;4132506;-3
2;694;0;3;3;3794;6;4072179;3
2;694;0;3;4;3794;6;9187881;-3
2;694;0;4;0;3794;6;1082433;0
2;694;0;4;1;3794;6;3054550;4
2;694;0;4;2;3794;6;7624250;-3
2;694;0;4;3;3794;6;5176402;4
2;694;0;4;4;3794;6;2718832;-3
2;694;1;0;0;3794;6;4550651;4
2;694;1;0;1;3794;6;3967791;-4
2;694;1;0;2;3794;6;1016661;-5
2;694;1;0;3;3794;6;8970351;5
2;815;0;0;2;3794;6;7263678;7
2;815;0;0;3;3794;6;7794495;-4
2;815;0;0;4;3794;6;7221681;6
2;815;0;1;0;3794;6;6220854;2
2;815;0;1;1;3794;6;4365940;4
2;815;0;1;2;3794;6;1964950;1
2;815;0;1;3;3794;6;1915142;6
2;815;0;0;0;3794;6;8332734;-4
2;815;0;0;1;3794;6;1250865;0
2;816;0;0;0;3794;6;1964950;1
2;816;0;0;1;3794;6;7907417;7
2;816;0;0;2;3794;6;7221681;6
2;816;0;0;3;3794;6;3931653;-4
2;816;0;0;4;3794;6;5263611;-1
2;816;0;1;0;3794;6;4770849;3
2;816;0;1;1;3794;6;9700376;1
2;816;0;1;2;3794;6;2060056;-5
2;816;0;1;3;3794;6;2172516;-5
2;816;0;1;4;3794;6;6315290;5
2;816;0;2;0;3794;6;4437376;4
2;816;0;2;1;3794;6;7794495;-4
2;816;0;2;2;3794;6;8332734;-4
2;816;0;2;3;3794;6;1250865;0
2;816;0;2;4;3794;6;1946349;-5
2;816;0;3;0;3794;6;6430079;5
2;816;0;3;1;3794;6;4365940;4
2;816;0;3;2;3794;6;5983063;0
2;816;0;3;3;3794;6;7000929;-3
2;816;0;3;4;3794;6;8589436;1
2;816;0;4;0;3794;6;4484222;6
2;816;0;4;1;3794;6;2035345;1
2;816;0;4;2;3794;6;9639696;4
2;816;0;4;3;3794;6;9434197;2
2;816;0;4;4;3794;6;8821068;7
2;816;1;0;0;3794;6;1585199;-3
2;816;1;0;1;3794;6;5509077;0
2;816;1;0;2;3794;6;6721826;-2
2;816;1;0;3;3794;6;9956635;5
2;937;0;0;0;3794;6;8606410;0
2;937;0;0;1;3794;6;3809031;0
2;937;0;0;2;3794;6;5266844;-3
2;937;0;0;3;3794;6;1719875;1
2;937;0;0;4;3794;6;3683562;7
2;937;0;1;0;3794;6;6878477;-1
2;937;0;1;1;3794;6;6483923;-4
2;937;0;1;2;3794;6;8162427;5
2;937;0;1;3;3794;6;8182129;-3
2;938;0;0;0;3794;6;6221085;7
2;938;0;0;1;3794;6;1025804;-3
2;938;0;0;2;3794;6;6916620;-4
2;938;0;0;3;3794;6;9580052;4
2;938;0;0;4;3794;6;6010314;-1
2;938;0;1;0;3794;6;1221317;0
2;938;0;1;1;3794;6;7814428;-2
2;938;0;1;2;3794;6;5712011;-3
2;938;0;1;3;3794;6;9464977;1
2;938;0;1;4;3794;6;6483923;-4
2;938;0;2;0;3794;6;9251827;5
2;938;0;2;1;3794;6;1283506;-5
2;938;0;2;2;3794;6;1719875;1
2;938;0;2;3;3794;6;3809031;0
2;938;0;2;4;3794;6;4020171;1
2;938;0;3;0;3794;6;5266844;-3
2;938;0;3;1;3794;6;1164466;5
2;938;0;3;2;3794;6;6220854;2
2;938;0;3;3;3794;6;6056896;-2
2;938;0;3;4;3794;6;9281899;6
2;938;0;4;0;3794;6;8188527;4
2;938;0;4;1;3794;6;8182129;-3
2;938;0;4;2;3794;6;7952773;4
2;938;0;4;3;3794;6;3181214;0
2;938;0;4;4;3794;6;1067076;-2
2;938;1;0;0;3794;6;4964069;5
2;938;1;0;1;3794;6;3740190;6
2;938;1;0;2;3794;6;8254269;-4
2;938;1;0;3;3794;6;6878477;-1
2;1059;0;0;0;3794;6;4360535;1
2;1059;0;0;1;3794;6;2478151;-3
2;1059;0;0;2;3794;6;9426730;5
2;1059;0;0;3;3794;6;8692952;1
2;1059;0;0;4;3794;6;4718946;4
2;1059;0;1;0;3794;6;1908613;1
2;1059;0;1;1;3794;6;4776251;-5
2;1059;0;1;2;3794;6;9542496;6
2;1059;0;1;3;3794;6;9737599;5
2;1060;0;0;0;3794;6;7588946;4
2;1060;0;0;1;3794;6;9737599;5
2;1060;0;0;2;3794;6;2849815;7
2;1060;0;0;3;3794;6;1908613;1
2;1060;0;0;4;3794;6;2478151;-3
2;1060;0;1;0;3794;6;8162427;5
2;1060;0;1;1;3794;6;3683562;7
2;1060;0;1;2;3794;6;8606410;0
2;1060;0;1;3;3794;6;4718946;4
2;1060;0;1;4;3794;6;4360535;1
2;1060;0;2;0;3794;6;2805031;4
2;1060;0;2;1;3794;6;8692952;1
2;1060;0;2;2;3794;6;4909286;2
2;1060;0;2;3;3794;6;1915142;6
2;1060;0;2;4;3794;6;7856843;5
2;1060;0;3;0;3794;6;3091009;-3
2;1060;0;3;1;3794;6;3778878;-2
2;1060;0;3;2;3794;6;9542496;6
