MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Length,Width,Draft,Cargo,TranscieverClass
257881000,31/12/2020 22:01,23.90519,-84.15083,13.2,118.1,117,SPAR ARIES,IMO9701920,LATO7,70,199,32,13.3,NA,B
257881000,31/12/2020 18:50,24.2153,-84.80182,12.2,117.7,113,SPAR ARIES,IMO9701920,LATO7,70,199,32,13.3,NA,B
257881000,31/12/2020 21:37,23.94399,-84.23724,13.2,116.6,113,SPAR ARIES,IMO9701920,LATO7,70,199,32,13.3,NA,B
257881000,31/12/2020 18:54,24.20834,-84.78753,12.2,118.3,113,SPAR ARIES,IMO9701920,LATO7,70,199,32,13.3,NA,B
257881000,31/12/2020 18:38,24.23369,-84.84026,12,117.2,113,SPAR ARIES,IMO9701920,LATO7,70,199,32,13.3,NA,B
257881000,31/12/2020 19:23,24.16206,-84.69464,12.1,117.5,112,SPAR ARIES,IMO9701920,LATO7,70,199,32,13.3,NA,B
305373000,31/12/2020 08:16,23.15489,-82.36574,7.8,-75.6,344,BOREAS,IMO9488645,V2EB3,70,116,18,7,NA,B
305373000,31/12/2020 16:45,23.37555,-81.03043,7.8,82.1,88,BOREAS,IMO9488645,V2EB3,70,116,18,7,NA,B
309416000,31/12/2020 18:56,25.83611,-78.50491,1.1,34.1,83,SEABOURN ODYSSEY,IMO9417086,C6XC6,70,198,26,6.4,NA,A
309416000,31/12/2020 16:53,25.83657,-78.50441,0.8,-143.9,146,SEABOURN ODYSSEY,IMO9417086,C6XC6,70,198,26,6.4,NA,A
