MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Length,Width,Draft,Cargo,TranscieverClass
210950000,31/12/2020 17:19,42.97875,-66.97001,12.9,13.1,355,VARAMO,IMO9395044,C4SQ2,70,166,25,9.5,NA,B
210950000,31/12/2020 17:03,42.92236,-66.97243,12.5,2.4,358,VARAMO,IMO9395044,C4SQ2,70,166,25,9.5,NA,B
210950000,31/12/2020 16:20,42.7698,-66.9759,13.3,3.7,356,VARAMO,IMO9395044,C4SQ2,70,166,25,9.5,NA,B
210950000,31/12/2020 17:16,42.96912,-66.97061,12.7,-55.4,358,VARAMO,IMO9395044,C4SQ2,70,166,25,9.5,NA,B
210950000,31/12/2020 17:13,42.95969,-66.97106,12.9,8.1,358,VARAMO,IMO9395044,C4SQ2,70,166,25,9.5,NA,B
210950000,31/12/2020 16:34,42.82021,-66.9758,13,-55,356,VARAMO,IMO9395044,C4SQ2,70,166,25,9.5,NA,A
210950000,31/12/2020 16:40,42.84366,-66.97571,13,-49.7,356,VARAMO,IMO9395044,C4SQ2,70,166,25,9.5,NA,B
210950000,31/12/2020 16:00,42.69577,-66.97808,13.7,-54.8,357,VARAMO,IMO9395044,C4SQ2,70,166,25,9.5,NA,B
210950000,31/12/2020 17:07,42.93874,-66.97208,13.1,2.6,359,VARAMO,IMO9395044,C4SQ2,70,166,25,9.5,NA,B
210950000,31/12/2020 16:12,42.73879,-66.97726,13.4,3.4,357,VARAMO,IMO9395044,C4SQ2,70,166,25,9.5,NA,B
210950000,31/12/2020 17:15,42.96527,-66.97082,12.8,-58.6,358,VARAMO,IMO9395044,C4SQ2,70,166,25,9.5,NA,B
210950000,31/12/2020 16:22,42.77682,-66.9756,13.2,-53.3,358,VARAMO,IMO9395044,C4SQ2,70,166,25,9.5,NA,B
210950000,31/12/2020 17:10,42.94963,-66.97151,13.4,16.3,358,VARAMO,IMO9395044,C4SQ2,70,166,25,9.5,NA,B
210950000,31/12/2020 16:32,42.81133,-66.97587,13.4,10,356,VARAMO,IMO9395044,C4SQ2,70,166,25,9.5,NA,B
210950000,31/12/2020 16:16,42.75527,-66.97665,13.7,-50.5,357,VARAMO,IMO9395044,C4SQ2,70,166,25,9.5,NA,B
210950000,31/12/2020 16:04,42.71055,-66.97776,13.5,1.4,358,VARAMO,IMO9395044,C4SQ2,70,166,25,9.5,NA,B
210950000,31/12/2020 17:33,43.02665,-66.97076,12.5,3.6,354,VARAMO,IMO9395044,C4SQ2,70,166,25,9.5,NA,B
210950000,31/12/2020 17:09,42.9442,-66.97192,13.3,4.2,358,VARAMO,IMO9395044,C4SQ2,70,166,25,9.5,NA,B
210950000,31/12/2020 16:57,42.90195,-66.97326,12.8,5.9,357,VARAMO,IMO9395044,C4SQ2,70,166,25,9.5,NA,B
210950000,31/12/2020 18:31,43.22513,-66.96725,11.7,5.5,355,VARAMO,IMO9395044,C4SQ2,70,166,25,9.5,NA,B
210950000,31/12/2020 16:15,42.75007,-66.97689,13.6,3,357,VARAMO,IMO9395044,C4SQ2,70,166,25,9.5,NA,B
210950000,31/12/2020 16:52,42.8839,-66.97409,12.7,2.5,359,VARAMO,IMO9395044,C4SQ2,70,166,25,9.5,NA,B
210950000,31/12/2020 16:35,42.82527,-66.97577,13.1,-50.9,356,VARAMO,IMO9395044,C4SQ2,70,166,25,9.5,NA,B
210950000,31/12/2020 16:28,42.7969,-66.97547,13,4.2,356,VARAMO,IMO9395044,C4SQ2,70,166,25,9.5,NA,B
210950000,31/12/2020 17:20,42.98271,-66.97009,12.4,-52,354,VARAMO,IMO9395044,C4SQ2,70,166,25,9.5,NA,B
212180000,31/12/2020 19:37,24.34573,-85.12394,11.7,119.9,117,SAITA I,IMO9643544,5BBA4,70,228,32,14.4,NA,A
212180000,31/12/2020 21:49,24.14301,-84.72268,11.7,116.6,114,SAITA I,IMO9643544,5BBA4,70,228,32,14.4,NA,B
212180000,31/12/2020 20:17,24.28016,-85.00316,11.3,120.8,118,SAITA I,IMO9643544,5BBA4,70,228,32,14.4,NA,B
212180000,31/12/2020 21:07,24.20221,-84.85411,11.3,116.8,117,SAITA I,IMO9643544,5BBA4,70,228,32,14.4,NA,A
212180000,31/12/2020 22:10,24.11445,-84.65529,11.6,113.3,110,SAITA I,IMO9643544,5BBA4,70,228,32,14.4,NA,B
212351000,31/12/2020 23:03,55.09307,-167.63625,3.5,-61.6,232,HYUNDAI SINGAPORE,IMO9305685,5BZP3,70,303,40,14.5,79,B
228339600,31/12/2020 00:34,28.30354,-88.78563,11.7,129.9,131,CMA CGM ALMAVIVA,IMO9450648,FLSU,70,334,42,15,79,B
228339600,31/12/2020 02:15,28.08366,-88.50578,11.5,131,131,CMA CGM ALMAVIVA,IMO9450648,FLSU,70,334,42,15,79,B
228339600,31/12/2020 00:25,28.32168,-88.81035,11.7,128.3,130,CMA CGM ALMAVIVA,IMO9450648,FLSU,70,334,42,15,79,B
228339600,31/12/2020 00:20,28.33263,-88.82491,11.8,129.5,131,CMA CGM ALMAVIVA,IMO9450648,FLSU,70,334,42,15,79,B
228339600,31/12/2020 01:22,28.19854,-88.65058,11.7,130.3,131,CMA CGM ALMAVIVA,IMO9450648,FLSU,70,334,42,15,79,B
228339600,31/12/2020 03:47,27.89788,-88.25001,11.7,128.4,129,CMA CGM ALMAVIVA,IMO9450648,FLSU,70,334,42,15,79,B
228339600,31/12/2020 01:24,28.19528,-88.64645,11.7,130.8,131,CMA CGM ALMAVIVA,IMO9450648,FLSU,70,334,42,15,79,B
228339600,31/12/2020 00:16,28.34134,-88.83706,11.9,126.9,129,CMA CGM ALMAVIVA,IMO9450648,FLSU,70,334,42,15,79,B
228339600,31/12/2020 03:16,27.95776,-88.33859,11.3,128.2,128,CMA CGM ALMAVIVA,IMO9450648,FLSU,70,334,42,15,79,B
228339600,31/12/2020 00:13,28.3484,-88.84688,12,129,130,CMA CGM ALMAVIVA,IMO9450648,FLSU,70,334,42,15,79,B
228339600,31/12/2020 00:15,28.34412,-88.84108,12,128.3,129,CMA CGM ALMAVIVA,IMO9450648,FLSU,70,334,42,15,79,B
228339600,31/12/2020 00:11,28.35085,-88.85024,12,127.3,130,CMA CGM ALMAVIVA,IMO9450648,FLSU,70,334,42,15,79,B
228339600,31/12/2020 00:54,28.26076,-88.7299,11.8,131,131,CMA CGM ALMAVIVA,IMO9450648,FLSU,70,334,42,15,79,B
228339600,31/12/2020 00:18,28.33618,-88.82967,11.9,127.8,131,CMA CGM ALMAVIVA,IMO9450648,FLSU,70,334,42,15,79,B
228339600,31/12/2020 02:30,28.05221,-88.46678,11.6,130.9,131,CMA CGM ALMAVIVA,IMO9450648,FLSU,70,334,42,15,79,B
228339600,31/12/2020 02:06,28.10335,-88.53051,11.6,130.5,131,CMA CGM ALMAVIVA,IMO9450648,FLSU,70,334,42,15,79,B
228339600,31/12/2020 00:00,28.37458,-88.88584,11.8,124.6,128,CMA CGM ALMAVIVA,IMO9450648,FLSU,70,334,42,15,79,B
228339600,31/12/2020 03:56,27.87869,-88.22321,11.7,127.9,128,CMA CGM ALMAVIVA,IMO9450648,FLSU,70,334,42,15,79,B
228339600,31/12/2020 02:29,28.05475,-88.46992,11.5,131.1,131,CMA CGM ALMAVIVA,IMO9450648,FLSU,70,334,42,15,79,B
229767000,31/12/2020 22:03,26.45021,-91.84957,19.4,-111.4,297,ARCTIC AURORA,IMO9645970,9HA3589,80,288,44,12.5,NA,B
229767000,31/12/2020 22:01,26.44508,-91.83885,19.4,-111.7,296,ARCTIC AURORA,IMO9645970,9HA3589,80,288,44,12.5,NA,B
229767000,31/12/2020 20:00,26.12391,-91.18216,20.1,-109.7,299,ARCTIC AURORA,IMO9645970,9HA3589,80,288,44,12.5,NA,B
229767000,31/12/2020 20:02,26.12964,-91.19356,20.1,-110.9,299,ARCTIC AURORA,IMO9645970,9HA3589,80,288,44,12.5,NA,B
229857000,31/12/2020 17:02,17.9662,-63.14557,1.3,155.3,88,CARNIVAL LEGEND,IMO9224726,9HA3667,60,292,38,7.8,NA,B
229857000,31/12/2020 21:17,17.94857,-63.14243,0.9,145.9,88,CARNIVAL LEGEND,IMO9224726,9HA3667,60,292,38,7.8,NA,B
229857000,31/12/2020 16:47,17.96995,-63.14873,1.4,131.9,78,CARNIVAL LEGEND,IMO9224726,9HA3667,60,292,38,7.8,NA,B
229857000,31/12/2020 17:08,17.96373,-63.14453,1.2,155,85,CARNIVAL LEGEND,IMO9224726,9HA3667,60,292,38,7.8,NA,B
229857000,31/12/2020 17:39,17.95542,-63.142,0.9,194.5,78,CARNIVAL LEGEND,IMO9224726,9HA3667,60,292,38,7.8,NA,B
229961000,31/12/2020 23:31,54.23188,-130.33667,0.1,82.8,0,ARABELLA,IMO9700122,9HA3752,70,199,32,13.3,NA,A
229961000,31/12/2020 23:28,54.23184,-130.33702,0.1,34.6,0,ARABELLA,IMO9700122,9HA3752,70,199,32,13.3,NA,A
235092459,31/12/2020 21:29,23.27468,-79.12974,0.2,143.9,111,STENA ICEMAX,IMO9517575,2FMJ5,90,227,42,12,NA,B
249047000,31/12/2020 18:50,25.74779,-78.29992,0,-100.1,139,CELEBRITY SUMMIT,IMO9192387,9HJC9,60,294,32,8,NA,A
249047000,31/12/2020 17:32,25.74787,-78.29997,0.1,173.9,142,CELEBRITY SUMMIT,IMO9192387,9HJC9,60,294,32,8,NA,A
249047000,31/12/2020 10:20,25.74754,-78.29966,0.1,-170.3,123,CELEBRITY SUMMIT,IMO9192387,9HJC9,60,294,32,8,NA,A
249047000,31/12/2020 18:35,25.74774,-78.29988,0,30,138,CELEBRITY SUMMIT,IMO9192387,9HJC9,60,294,32,8,NA,A
249047000,31/12/2020 17:50,25.74784,-78.29996,0,165.3,142,CELEBRITY SUMMIT,IMO9192387,9HJC9,60,294,32,8,NA,A
249047000,31/12/2020 18:59,25.74774,-78.29988,0.1,-58,139,CELEBRITY SUMMIT,IMO9192387,9HJC9,60,294,32,8,NA,A
249047000,31/12/2020 09:05,25.74763,-78.29975,0,-91.7,130,CELEBRITY SUMMIT,IMO9192387,9HJC9,60,294,32,8,NA,A
249047000,31/12/2020 09:38,25.74757,-78.29971,0.1,-62.3,124,CELEBRITY SUMMIT,IMO9192387,9HJC9,60,294,32,8,NA,A
256304000,31/12/2020 15:44,24.0902,-84.93642,4.8,-145.4,259,OREGON TRADER,IMO9344564,9HA3880,70,211,29,11.4,NA,B
256888000,31/12/2020 22:00,27.0003,-91.62468,14.8,-93.6,314,CMA CGM MELISANDE,IMO9473028,9HA2954,70,334,42,14.7,70,B
256888000,31/12/2020 22:01,27.00352,-91.62823,14.7,-95.6,314,CMA CGM MELISANDE,IMO9473028,9HA2954,70,334,42,14.7,70,B
256888000,31/12/2020 21:59,26.99882,-91.62308,14.7,-94.6,315,CMA CGM MELISANDE,IMO9473028,9HA2954,70,334,42,14.7,70,B
256888000,31/12/2020 22:03,27.01087,-91.63685,14.7,-95.6,314,CMA CGM MELISANDE,IMO9473028,9HA2954,70,334,42,14.7,70,B
256888000,31/12/2020 21:57,26.9937,-91.61775,14.8,-91.6,316,CMA CGM MELISANDE,IMO9473028,9HA2954,70,334,42,14.7,70,B
256888000,31/12/2020 21:34,26.92217,-91.5435,15,-93.6,314,CMA CGM MELISANDE,IMO9473028,9HA2954,70,334,42,14.7,70,B
256888000,31/12/2020 22:02,27.00748,-91.63287,14.7,-96.6,313,CMA CGM MELISANDE,IMO9473028,9HA2954,70,334,42,14.7,70,B
257881000,31/12/2020 22:01,23.90519,-84.15083,13.2,118.1,117,SPAR ARIES,IMO9701920,LATO7,70,199,32,13.3,NA,B
257881000,31/12/2020 18:50,24.2153,-84.80182,12.2,117.7,113,SPAR ARIES,IMO9701920,LATO7,70,199,32,13.3,NA,B
257881000,31/12/2020 21:37,23.94399,-84.23724,13.2,116.6,113,SPAR ARIES,IMO9701920,LATO7,70,199,32,13.3,NA,B
257881000,31/12/2020 18:54,24.20834,-84.78753,12.2,118.3,113,SPAR ARIES,IMO9701920,LATO7,70,199,32,13.3,NA,B
257881000,31/12/2020 18:38,24.23369,-84.84026,12,117.2,113,SPAR ARIES,IMO9701920,LATO7,70,199,32,13.3,NA,B
257881000,31/12/2020 19:23,24.16206,-84.69464,12.1,117.5,112,SPAR ARIES,IMO9701920,LATO7,70,199,32,13.3,NA,B
258692000,31/12/2020 03:53,27.86118,-78.01013,10.4,73,77,KRONVIKEN,IMO9321677,LAJB6,80,248,43,14.9,NA,B
258692000,31/12/2020 02:40,27.80105,-78.239,10.3,72,78,KRONVIKEN,IMO9321677,LAJB6,80,248,43,14.9,NA,B
258692000,31/12/2020 02:18,27.78238,-78.30668,10.4,72,78,KRONVIKEN,IMO9321677,LAJB6,80,248,43,14.9,NA,B
258692000,31/12/2020 02:32,27.79408,-78.26433,10.3,72,78,KRONVIKEN,IMO9321677,LAJB6,80,248,43,14.9,NA,B
258692000,31/12/2020 02:37,27.79903,-78.24627,10.3,73,78,KRONVIKEN,IMO9321677,LAJB6,80,248,43,14.9,NA,B
258692000,31/12/2020 03:17,27.83305,-78.12255,10.2,74,80,KRONVIKEN,IMO9321677,LAJB6,80,248,43,14.9,NA,B
258692000,31/12/2020 02:33,27.79535,-78.25963,10.3,73,78,KRONVIKEN,IMO9321677,LAJB6,80,248,43,14.9,NA,B
258692000,31/12/2020 03:41,27.85187,-78.04922,10.5,74,80,KRONVIKEN,IMO9321677,LAJB6,80,248,43,14.9,NA,B
258692000,31/12/2020 03:20,27.83512,-78.1149,10.3,73,80,KRONVIKEN,IMO9321677,LAJB6,80,248,43,14.9,NA,B
258692000,31/12/2020 02:19,27.78335,-78.30307,10.4,73,78,KRONVIKEN,IMO9321677,LAJB6,80,248,43,14.9,NA,B
258692000,31/12/2020 03:47,27.85623,-78.03073,10.5,76,80,KRONVIKEN,IMO9321677,LAJB6,80,248,43,14.9,NA,B
258692000,31/12/2020 03:12,27.82815,-78.13885,10.3,71,77,KRONVIKEN,IMO9321677,LAJB6,80,248,43,14.9,NA,B
258692000,31/12/2020 02:44,27.80468,-78.22573,10.2,72,78,KRONVIKEN,IMO9321677,LAJB6,80,248,43,14.9,NA,B
258692000,31/12/2020 02:09,27.77507,-78.33393,10.4,74,78,KRONVIKEN,IMO9321677,LAJB6,80,248,43,14.9,NA,A
303221000,31/12/2020 23:00,53.87876,-166.55202,0,-188.8,511,ARCTIC SEA,IMO7819216,WDG5171,30,37,9,3,NA,A
303221000,31/12/2020 23:51,53.87878,-166.55203,0,-197.3,511,ARCTIC SEA,IMO7819216,WDG5171,30,37,9,3,NA,A
303221000,31/12/2020 23:33,53.87875,-166.55201,0,197.5,511,ARCTIC SEA,IMO7819216,WDG5171,30,37,9,3,NA,A
303221000,31/12/2020 23:39,53.87879,-166.55203,0,-167.2,511,ARCTIC SEA,IMO7819216,WDG5171,30,37,9,3,NA,A
303221000,31/12/2020 23:21,53.87878,-166.55199,0,-173.4,511,ARCTIC SEA,IMO7819216,WDG5171,30,37,9,3,NA,A
303221000,31/12/2020 23:54,53.87876,-166.55196,0,-175,511,ARCTIC SEA,IMO7819216,WDG5171,30,37,9,3,NA,A
303221000,31/12/2020 23:36,53.87876,-166.55202,0,-198.9,511,ARCTIC SEA,IMO7819216,WDG5171,30,37,9,3,NA,A
303221000,31/12/2020 23:57,53.87877,-166.552,0,194.9,511,ARCTIC SEA,IMO7819216,WDG5171,30,37,9,3,NA,A
303221000,31/12/2020 23:42,53.87874,-166.552,0,-195.3,511,ARCTIC SEA,IMO7819216,WDG5171,30,37,9,3,NA,A
303221000,31/12/2020 23:30,53.87876,-166.55202,0,195,511,ARCTIC SEA,IMO7819216,WDG5171,30,37,9,3,NA,A
303221000,31/12/2020 23:27,53.87877,-166.552,0,-201,511,ARCTIC SEA,IMO7819216,WDG5171,30,37,9,3,NA,A
303221000,31/12/2020 23:24,53.8788,-166.55203,0,193.4,511,ARCTIC SEA,IMO7819216,WDG5171,30,37,9,3,NA,A
