MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Length,Width,Draft,Cargo,TranscieverClass
211331642,31/12/2020 00:39,36.59348,-122.86674,16.4,147.6,149,Cheiro,IMO3193303,DFG0,70,294,32,13.6,79,B
211331642,31/12/2020 01:25,36.39094,-122.71335,19.7,145.5,147,Cheiro,IMO3193303,DFG0,70,294,32,13.6,79,B
211331642,31/12/2020 01:27,36.39094,-122.71335,19.7,145.5,147,Cheiro,IMO3193303,DFG0,70,294,32,13.6,79,B
211331642,31/12/2020 01:28,36.39094,-122.71335,19.7,145.5,147,Cheiro,IMO3193303,DFG0,70,294,32,13.6,79,B
211331641,31/12/2020 00:39,36.59348,-122.86674,16.4,147.6,149,pivete,IMO2193305,DFG1,70,294,32,13.6,79,B
211331641,31/12/2020 01:25,36.39094,-152.71335,19.7,145.5,147,pivete,IMO2193305,DFG1,70,294,32,13.6,79,B
211331641,31/12/2020 00:39,36.59348,-122.86674,16.4,147.6,149,pivete,IMO1193304,DFG1,70,294,32,13.6,79,B
211331643,31/12/2020 00:39,36.59348,-122.86674,16.4,147.6,149,fedor,IMO1193304,DFG3,70,294,32,13.6,79,B
211331643,31/12/2020 01:25,36.39094,-122.71335,19.7,145.5,147,fedor,IMO1193304,DFG3,70,294,32,13.6,79,B
211331643,31/12/2020 00:35,36.59348,-122.86674,16.4,147.6,149,fedor,IMO1193304,DFG3,70,294,32,13.6,79,B
211331643,31/12/2020 01:23,36.39094,-142.71335,19.7,145.5,147,fedor,IMO1193304,DFG3,70,294,32,13.6,79,B
